[dispatch] WELCOME  -> no handler
[dispatch] bct 11 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 6 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 7 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 8 0 0 0 0 1 0 0  -> handled
[dispatch] bct 11 9 1 1 0 0 1 0 0  -> handled
[dispatch] bct 11 10 1 0 0 0 0 0 0  -> handled
[dispatch] bct 11 11 1 0 0 0 0 0 0  -> handled
[dispatch] bct 11 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 13 0 0 2 1 0 0 0  -> handled
[dispatch] bct 11 14 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 15 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 16 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 17 1 0 0 0 0 0 0  -> handled
[dispatch] bct 11 18 0 0 1 0 0 0 0  -> handled
[dispatch] bct 11 19 1 0 0 0 0 0 0  -> handled
[dispatch] bct 11 20 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 21 0 1 0 0 0 0 0  -> handled
[dispatch] bct 11 22 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 23 0 0 0 0 0 0 1  -> handled
[dispatch] bct 11 24 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 25 1 0 0 0 0 1 0  -> handled
[dispatch] bct 11 26 1 2 0 0 0 0 0  -> handled
[dispatch] bct 11 27 0 0 0 0 0 0 0  -> handled
[dispatch] bct 11 28 0 1 2 0 0 0 0  -> handled
[dispatch] bct 11 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 0 1 0 0 0 0 0 0  -> handled
[dispatch] bct 12 1 0 0 0 0 1 0 0  -> handled
[dispatch] bct 12 2 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 3 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 4 0 1 1 0 0 1 0  -> handled
[dispatch] bct 12 5 0 0 0 1 0 0 0  -> handled
[dispatch] bct 12 6 0 1 0 1 0 0 0  -> handled
[dispatch] bct 12 7 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 8 0 0 0 0 1 0 0  -> handled
[dispatch] bct 12 9 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 10 0 0 0 0 0 0 1  -> handled
[dispatch] bct 12 11 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 12 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 14 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 15 2 0 1 0 0 0 0  -> handled
[dispatch] bct 12 16 1 0 0 0 0 0 0  -> handled
[dispatch] bct 12 17 0 0 0 0 0 1 0  -> handled
[dispatch] bct 12 18 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 19 1 0 0 1 0 0 0  -> handled
[dispatch] bct 12 20 1 1 0 0 0 0 0  -> handled
[dispatch] bct 12 21 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 22 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 23 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 24 1 0 0 0 0 0 0  -> handled
[dispatch] bct 12 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 26 3 0 1 1 0 0 0  -> handled
[dispatch] bct 12 27 0 0 0 0 0 0 0  -> handled
[dispatch] bct 12 28 0 1 1 0 1 0 0  -> handled
[dispatch] bct 12 29 1 0 0 0 0 0 0  -> handled
[dispatch] bct 13 0 0 1 0 0 0 0 0  -> handled
[dispatch] bct 13 1 0 1 0 0 1 0 0  -> handled
[dispatch] bct 13 2 0 1 0 0 1 0 0  -> handled
[dispatch] bct 13 3 0 0 0 0 0 1 0  -> handled
[dispatch] bct 13 4 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 5 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 6 0 1 0 1 0 0 0  -> handled
[dispatch] bct 13 7 1 0 0 0 0 0 0  -> handled
[dispatch] bct 13 8 0 0 1 0 0 0 0  -> handled
[dispatch] bct 13 9 0 1 0 0 0 0 0  -> handled
[dispatch] bct 13 10 1 1 0 0 0 0 0  -> handled
[dispatch] bct 13 11 0 1 0 0 1 0 0  -> handled
[dispatch] bct 13 12 0 0 0 0 0 1 0  -> handled
[dispatch] bct 13 13 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 14 1 0 0 0 0 0 1  -> handled
[dispatch] bct 13 15 1 0 0 0 0 0 0  -> handled
[dispatch] bct 13 16 1 0 0 0 0 0 0  -> handled
[dispatch] bct 13 17 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 18 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 19 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 20 1 2 0 0 0 0 0  -> handled
[dispatch] bct 13 21 1 1 0 0 1 0 0  -> handled
[dispatch] bct 13 22 0 1 1 0 0 0 0  -> handled
[dispatch] bct 13 23 1 0 0 0 0 0 0  -> handled
[dispatch] bct 13 24 3 0 0 0 0 0 0  -> handled
[dispatch] bct 13 25 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 26 0 0 0 0 0 0 0  -> handled
[dispatch] bct 13 27 1 1 1 0 0 0 0  -> handled
[dispatch] bct 13 28 2 0 0 0 0 0 0  -> handled
[dispatch] bct 13 29 0 0 0 0 0 0 0  -> handled
[dispatch] bct 14 0 0 0 1 1 0 0 0  -> handled
[dispatch] bct 14 1 0 1 1 0 0 0 0  -> handled
